id,@id,electrified,frequency,gauge,operator,railway,railway:block,tracks,usage,voltage,@timestamp,@version,@changeset,@user,@uid,bridge,layer,maxspeed,name,tunnel,year_of_construction,passenger_lines,railway:track_ref,service,railway:traffic_mode,covered,railway:ref,description,ele,light_rail,local_ref,network,public_transport,train,uic_name,uic_ref,ref,old_name,crossing:barrier,crossing:light,crossing:bell,supervised,railway:signal:main:form,crossing,horse,start_date
way/304634830,way/304634830,contact_line,"0","1000",AVA,narrow_gauge,,,branch,"750",2019/07/09 17:05:39,"10","72064035",sovereign_ch,"5755216",,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,
way/304634833,way/304634833,contact_line,"0","1000",AVA,narrow_gauge,1b,,branch,"750",2019/07/09 17:05:39,"8","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/304635097,way/304635097,contact_line,"0","1000",AVA,narrow_gauge,"1",,,"750",2019/07/09 17:05:39,"6","72064035",sovereign_ch,"5755216",,,,,,,,"2",siding,,,,,,,,,,,,,,,,,,,,,,
way/304635098,way/304635098,contact_line,"0","1000",AVA,narrow_gauge,,,branch,"750",2019/07/09 17:05:39,"9","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/323030503,way/323030503,contact_line,"0","1000",AVA,narrow_gauge,,,branch,"750",2019/07/09 17:05:39,"9","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/323031827,way/323031827,contact_line,"0","1000",AVA,narrow_gauge,"308","1",branch,"750",2020/01/16 15:43:54,"4","79656912",SWF8,"3524812",yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/323031828,way/323031828,contact_line,"0","1000",AVA,narrow_gauge,"308","1",branch,"750",2019/07/09 17:05:39,"3","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/326372043,way/326372043,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2021/09/07 11:09:54,"5","110853424",Wikilux,"1894634",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/326494207,way/326494207,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2021/09/07 11:09:54,"5","110853424",Wikilux,"1894634",,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,
way/326494208,way/326494208,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:39,"4","72064035",sovereign_ch,"5755216",,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,
way/326494209,way/326494209,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:39,"5","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/326494710,way/326494710,contact_line,"0","1000",AVA,narrow_gauge,"309","1",branch,"750",2019/07/09 17:05:39,"5","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/326498767,way/326498767,contact_line,"0","1000",AVA,narrow_gauge,"12",,branch,"750",2020/05/21 20:18:46,"7","85572341",bresomch,"456781",,,"25",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,
way/326498768,way/326498768,contact_line,"0","1000",AVA,narrow_gauge,"13",,branch,"750",2019/07/09 17:05:39,"7","72064035",sovereign_ch,"5755216",,,"25",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,
way/326498769,way/326498769,contact_line,"0","1000",AVA,narrow_gauge,"303","1",branch,"750",2019/07/09 17:05:39,"4","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/326498770,way/326498770,contact_line,"0","1000",AVA,narrow_gauge,"301","1",branch,"750",2019/07/09 17:05:40,"5","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/326498771,way/326498771,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"3","72064035",sovereign_ch,"5755216",,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,
way/326498772,way/326498772,contact_line,"0","1000",AVA,narrow_gauge,"307","1",branch,"750",2019/07/09 17:05:40,"3","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/326498773,way/326498773,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"4","72064035",sovereign_ch,"5755216",,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,
way/326498774,way/326498774,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"5","72064035",sovereign_ch,"5755216",,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,
way/326498775,way/326498775,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"3","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/326498776,way/326498776,contact_line,"0","1000",AVA,narrow_gauge,"304","1",branch,"750",2019/07/09 17:05:40,"4","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
